OBJECTID_1,OBJECTID,Id,RouteNum,RouteName,Color,ServType,PageOrient,Dest_1,Dest_2,Dest_3,GlobalID,created_us,created_da,last_edite,last_edi_1,Shape_STLe,Shapelen
100,67,0,59,Aldine Mail,Green,Local,L,Eastex Fwy,N Shepherd P&R, ,{CEEBAEDF-9D09-45F4-BC57-858238424D04}, ,,sn01,2016-08-17T00:00:00.000Z,63632.9190349,63632.9190349283
101,75,0,108,Veterans Memorial Express,Orange,Express,P,Downtown,FM 1960, ,{1A447099-AE80-483C-9C62-15252E94E885}, ,,sn01,2016-08-17T00:00:00.000Z,213721.879416,213721.879415952
102,81,0,151,Westpark Express,Orange,Express,L,Downtown,Hillcroft TC,Mission Bend TC,{DF73C445-4563-47D9-9ACD-5633B8F9B4B5}, ,,sn01,2016-08-19T00:00:00.000Z,198257.069278,198257.069277803
103,90,1,249,Monroe-Bay Area-Fuqua,ParkAndRide,Park & Ride,P,Bay Area PR,Monroe PR,Fuqua PR,{A39B441E-A425-4C9E-8247-3A5AEFBF3DB6}, ,,sn01,2016-08-19T00:00:00.000Z,430484.37396,430484.373965268
104,94,1,262,Westwood,ParkAndRide,Park & Ride,L,Downtown,Westwood PR, ,{CB8C5AF9-DBED-4CD8-BB65-AC5264D6E9C9}, ,,sn01,2016-08-19T00:00:00.000Z,272738.31536,272738.315357807
105,95,1,265,West Bellfort,ParkAndRide,Park & Ride,L,Downtown,West Bellfort PR, ,{2CB74EC7-83A5-4145-A641-00BB4B580D6A}, ,,sn01,2016-08-19T00:00:00.000Z,263683.241107,263683.241107455
106,96,1,269,Westwood-W Bellfort,ParkAndRide,Park & Ride,L,Downtown,West Bellfort PR,Westwood PR,{3812F48A-23B0-414F-93E5-793B9D3840DA}, ,,sn01,2016-08-19T00:00:00.000Z,256257.2801,256257.280099245
107,98,1,292,W Bellfort-Westwood-TMC,ParkAndRide,Park & Ride,L,Texas Medical Center,W Bellfort PR,Westwood PR,{3B237D13-3A8C-4CA8-AB5F-2C1D30540265}, ,,sn01,2016-08-19T00:00:00.000Z,236007.60223,236007.602231048
108,106,1,217,Cypress,ParkAndRide,Park & Ride,L,Downtown,Cypress PR, ,{0A7FA1B5-6BA0-483A-896D-CE256C8D9606}, ,,sn01,2016-07-27T00:00:00.000Z,401117.23333,401117.23332949
109,107,1,219,Northwest Station-W Little York,ParkAndRide,Park & Ride,L,W Little York PR,Northwest Station PR,Northwest TC,{A4D8F532-FCBC-4C75-9361-7EC974F24777}, ,,sn01,2016-07-27T00:00:00.000Z,329840.10202,329840.102020638
110,113,1,246,Bay Area,ParkAndRide,Park & Ride,P,Downtown,Bay Area PR, ,{C4A66FF6-A24C-408C-A2B8-E769D2170AC6}, ,,sn01,2016-08-19T00:00:00.000Z,384232.749,384232.748996827
111,114,1,298,Addicks-NWTC-TMC,ParkAndRide,Park & Ride,L,Texas Medical Center,NWTC,Addicks PR,{8E319EA2-FF14-4395-A504-C6136DC6D0B1}, ,,sn01,2016-08-18T00:00:00.000Z,303646.503388,303646.503387831
112,128,0,51,Hardy Kelley,Blue,Local,P,Downtown TC,LBJ Hospital, ,{6EFAE94E-7F67-45A6-BD53-91F69EBC4342}, ,,sn01,2016-08-17T00:00:00.000Z,79749.4940321,79749.4940321052
113,158,0,56,Airline / Montrose,Red,Local,P,TMC TC,Greenspoint TC, ,{A89CED74-D97E-4B34-A0C3-C25CC2C3EF81},sn01,2015-12-08T00:00:00.000Z,sn01,2016-08-18T00:00:00.000Z,127134.182849,127134.182848893
114,1005,1,216,W Little York,ParkAndRide,Park & Ride,L,Downtown,W Little York PR, ,{8652A921-F26C-452D-811F-C1688BD1DA5B},sn01,2016-02-01T00:00:00.000Z,sn01,2016-07-27T00:00:00.000Z,288492.37115,288492.371146188
115,1016,1,214,Northwest Station,ParkAndRide,Park & Ride,L,Downtown,Northwest TC,Northwest Station PR,{127D51A6-4C86-47AE-BB32-DD0CC4080721},sn01,2016-02-01T00:00:00.000Z,sn01,2016-07-27T00:00:00.000Z,336336.365294,336336.365293511
116,2608,0,5,Southmore,Green,Local,L,Wheeler TC,Richey St, ,{A5836594-931B-4914-B7DC-6E830C5FA14C},sn01,2016-03-18T00:00:00.000Z,sn01,2016-08-17T00:00:00.000Z,87934.4081562,87934.4081561897
117,3809,0,29,Cullen Hirsch,Blue,Local,P,Northline TC,MLK & Madden, ,{229159DB-DE66-44DF-A5D9-EC22ED63916C},sn01,2016-05-05T00:00:00.000Z,sn01,2016-08-17T00:00:00.000Z,147130.03968,147130.03968459
118,5444,1,283,Kuykendahl-Greenway Plaza-Uptown,ParkAndRide,Park & Ride,P,Downtown,Greenway Plaza,Uptown,{57D3C9C5-17B3-420E-B190-7F61E81DE84B},sn01,2016-06-30T00:00:00.000Z,sn01,2016-08-19T00:00:00.000Z,412951.924826,412951.924826083
119,5452,0,85,Antoine Washington,Red,Local,P,Downtown TC,SH 249,Greenspoint TC,{B5795922-4A88-47A1-8A62-164D1EE77CD8},sn01,2016-07-05T00:00:00.000Z,sn01,2016-08-17T00:00:00.000Z,120039.673464,120039.673464091
